#protein_ID	protein_accession	Gene_ID	Gene_symbol
1944823513	XP_038056264	ECB-GENE-25456440	LOC119728197
1944823518	XP_038056273	ECB-GENE-25456440	LOC119728197
1944823523	XP_038056281	ECB-GENE-25456440	LOC119728197
1944823531	XP_038056302	ECB-GENE-25456536	LOC119728220
1944823534	XP_038056310	ECB-GENE-25456536	LOC119728220
1944823543	XP_038056338	ECB-GENE-25456628	LOC119728252
1944823546	XP_038056347	ECB-GENE-25456628	LOC119728252
1944823549	XP_038056356	ECB-GENE-25456628	LOC119728252
1944823555	XP_038056369	ECB-GENE-25456649	LOC119728269
1944823596	XP_038056395	ECB-GENE-25456664	LOC119728283
1944823615	XP_038056407	ECB-GENE-25456669	LOC119728290
1944823634	XP_038056415	ECB-GENE-25456679	LOC119728300
1944823641	XP_038056436	ECB-GENE-25456689	LOC119728314
1944823645	XP_038056444	ECB-GENE-25456689	LOC119728314
1944823656	XP_038056479	ECB-GENE-25456734	LOC119728345
1944823661	XP_038056492	ECB-GENE-25456739	LOC119728352
1944823688	XP_038056563	ECB-GENE-25456815	LOC119728405
1944823691	XP_038056575	ECB-GENE-25456842	LOC119728413
1944823696	XP_038056586	ECB-GENE-25456868	LOC119728425
1944823758	XP_038056714	ECB-GENE-25457008	LOC119728512
1944823763	XP_038056722	ECB-GENE-25457008	LOC119728512
1944823768	XP_038056730	ECB-GENE-25457054	LOC119728529
1944823795	XP_038056740	ECB-GENE-25457054	LOC119728529
1944823819	XP_038056806	ECB-GENE-25457137	LOC119728582
1944823856	XP_038056871	ECB-GENE-25457234	LOC119728628
1944823861	XP_038056882	ECB-GENE-25457239	LOC119728635
1944823864	XP_038056888	ECB-GENE-25457245	LOC119728646
1944823882	XP_038056936	ECB-GENE-25457322	LOC119728682
1944823885	XP_038056947	ECB-GENE-25457338	LOC119728691
1944823888	XP_038056957	ECB-GENE-25457338	LOC119728691
1944823891	XP_038056961	ECB-GENE-25457338	LOC119728691
1944823894	XP_038056969	ECB-GENE-25457338	LOC119728691
1944823897	XP_038056977	ECB-GENE-25457338	LOC119728691
1944823902	XP_038056984	ECB-GENE-25457338	LOC119728691
1944823928	XP_038057026	ECB-GENE-25457432	LOC119728738
1944823948	XP_038057034	ECB-GENE-25457432	LOC119728738
1944823962	XP_038057044	ECB-GENE-25457432	LOC119728738
1944823995	XP_038057150	ECB-GENE-25457552	LOC119728823
1944824097	XP_038057266	ECB-GENE-25457713	LOC119728905
1944824103	XP_038057275	ECB-GENE-25457713	LOC119728905
1944824106	XP_038057289	ECB-GENE-25457720	LOC119728919
1944824109	XP_038057296	ECB-GENE-25457720	LOC119728919
1944824519	XP_038057975	ECB-GENE-25458619	LOC119729478
1944824526	XP_038057986	ECB-GENE-25458648	LOC119729487
1944824529	XP_038057997	ECB-GENE-25458660	LOC119729495
1944824532	XP_038058007	ECB-GENE-25458660	LOC119729495
1944824555	XP_038058074	ECB-GENE-25458728	LOC119729540
1944824573	XP_038058131	ECB-GENE-25458866	LOC119729585
1944824590	XP_038058187	ECB-GENE-25458946	LOC119729615
1944824594	XP_038058199	ECB-GENE-25458970	LOC119729623
1944824652	XP_038058382	ECB-GENE-25459217	LOC119729736
