gene	protein id
FER	FBpp0305491
FER	FBpp0428100
gd	FBpp0304587
gd	FBpp0304588
gd	FBpp0304589
gd	FBpp0312566
fs(1)K10	FBpp0070380
png	FBpp0070225
fs(1)Ya	FBpp0070463
fs(1)Yb	FBpp0070462
tj	FBpp0290883
tj	FBpp0302925
dup	FBpp0086519
dup	FBpp0309018
ft	FBpp0077167
ftz	FBpp0081139
ftz-f1	FBpp0074853
ftz-f1	FBpp0074854
ftz-f1	FBpp0293169
ftz-f1	FBpp0312453
fu	FBpp0074373
fw	FBpp0073424
fw	FBpp0111718
fw	FBpp0309601
fy	FBpp0079317
fy	FBpp0304314
fz	FBpp0075485
fz	FBpp0303135
fzy	FBpp0080391
g	FBpp0073673
g	FBpp0304098
g	FBpp0304099
Gal	FBpp0078861
Gal	FBpp0304852
bnb	FBpp0074427
bnb	FBpp0074428
bnb	FBpp0074429
bnb	FBpp0074430
Gapdh1	FBpp0087977
Gapdh1	FBpp0099914
Gapdh2	FBpp0073922
Gapdh2	FBpp0304864
Gdh	FBpp0088496
Gdh	FBpp0088990
Gdh	FBpp0088988
Gdh	FBpp0307192
gdl	FBpp0075305
gdl	FBpp0306207
gdl	FBpp0312134
Galphai	FBpp0076643
Gbeta13F	FBpp0073921
Gbeta13F	FBpp0089182
Gbeta13F	FBpp0089184
Gbeta13F	FBpp0089185
Gbeta13F	FBpp0303987
Gbeta13F	FBpp0312372
DCTN1-p150	FBpp0075498
Gld	FBpp0081114
Gld	FBpp0422604
Glt	FBpp0079331
Glt	FBpp0297934
gnu	FBpp0075447
Galphao	FBpp0087359
Galphao	FBpp0087360
Galphao	FBpp0087361
Galphao	FBpp0087362
Galphao	FBpp0087363
Galphao	FBpp0087364
Galphao	FBpp0087365
Galphao	FBpp0089315
Galphao	FBpp0089316
Galphao	FBpp0305278
Galphas	FBpp0072051
Galphas	FBpp0072052
Galphas	FBpp0072053
Galphas	FBpp0290625
Galphas	FBpp0309944
Got1	FBpp0086370
Got1	FBpp0086371
Got2	FBpp0077536
Got2	FBpp0077537
Gpdh1	FBpp0078777
Gpdh1	FBpp0078778
Gpdh1	FBpp0078779
Gpdh1	FBpp0305430
Gpdh1	FBpp0305431
Gpdh1	FBpp0305432
grau	FBpp0071477
Grd	FBpp0074905
grk	FBpp0079313
grn	FBpp0081304
grn	FBpp0289317
grn	FBpp0303221
gro	FBpp0084336
gro	FBpp0084337
gro	FBpp0084338
gro	FBpp0084339
gro	FBpp0089115
gro	FBpp0292077
gro	FBpp0292078
gro	FBpp0293584
gro	FBpp0307986
gro	FBpp0308932
Gs1	FBpp0077773
Gs1	FBpp0077774
Gs1	FBpp0289795
Gs2	FBpp0073344
Gs2	FBpp0073345
Gs2	FBpp0089332
Gs2	FBpp0310162
Gs2	FBpp0310163
Gs2	FBpp0310164
gsb-n	FBpp0072363
gsb	FBpp0072349
GstD1	FBpp0082077
GstD1	FBpp0099824
gt	FBpp0070444
hry	FBpp0076296
hry	FBpp0099504
H	FBpp0083322
H	FBpp0083323
H	FBpp0083324
H	FBpp0083325
H2.0	FBpp0078858
halo	FBpp0113046
hay	FBpp0075982
hay	FBpp0113091
hb	FBpp0081431
hb	FBpp0081432
her	FBpp0080440
her	FBpp0307137
Hex-A	FBpp0071296
Hex-A	FBpp0071297
Hex-A	FBpp0305527
Hex-C	FBpp0086530
hfw	FBpp0070260
hfw	FBpp0305326
His2Av	FBpp0084434
His2Av	FBpp0306426
hook	FBpp0080722
Hmr	FBpp0071440
Hn	FBpp0076523
Hn	FBpp0099602
Hn	FBpp0306707
Hn	FBpp0306708
Hrb98DE	FBpp0084671
Hrb98DE	FBpp0084669
Hrb98DE	FBpp0084667
Hrb98DE	FBpp0084668
Hrb98DE	FBpp0084670
Hrb98DE	FBpp0084672
Hsc70-1	FBpp0075503
Hsc70-1	FBpp0075504
Hsc70-1	FBpp0075505
Hsc70-2	FBpp0082175
Hsc70-3	FBpp0073445
Hsc70-3	FBpp0073446
Hsc70-3	FBpp0073447
Hsc70-3	FBpp0073448
Hsc70-3	FBpp0311376
Hsc70-5	FBpp0086694
Hsc70-5	FBpp0308990
Hsf	FBpp0085961
Hsf	FBpp0110264
Hsf	FBpp0110265
Hsf	FBpp0110266
Hsp22	FBpp0100010
Hsp22	FBpp0100011
Hsp23	FBpp0076181
Hsp23	FBpp0301282
Hsp26	FBpp0076224
Hsp26	FBpp0312157
Hsp27	FBpp0076182
Hsp27	FBpp0312159
Hsp67Ba	FBpp0076223
CG4456	FBpp0100114
CG4456	FBpp0100115
CG4456	FBpp0292525
CG4456	FBpp0292526
Hsp67Bc	FBpp0076225
Hsp68	FBpp0083974
Hsp83	FBpp0072904
Hsp83	FBpp0305095
lncRNA:Hsromega	
lncRNA:Hsromega	
lncRNA:Hsromega	
lncRNA:Hsromega	
lncRNA:Hsromega	
lncRNA:Hsromega	
lncRNA:Hsromega	
hth	FBpp0081733
hth	FBpp0081732
hth	FBpp0099878
hth	FBpp0099879
hth	FBpp0310558
Ide	FBpp0271781
Idh	FBpp0076390
Idh	FBpp0076391
Idh	FBpp0076392
Idh	FBpp0076393
Idh	FBpp0076394
Idh	FBpp0076396
Idh	FBpp0113040
Idh	FBpp0113041
Idh	FBpp0305272
if	FBpp0074131
if	FBpp0290566
if	FBpp0290567
if	FBpp0290568
ImpE1	FBpp0076333
ImpE1	FBpp0076334
ImpE1	FBpp0305271
ImpE2	FBpp0073000
ImpE3	FBpp0302560
ImpL1	FBpp0075578
ImpL1	FBpp0075579
ImpL1	FBpp0290619
ImpL2	FBpp0073104
ImpL2	FBpp0073105
ImpL2	FBpp0073106
ImpL2	FBpp0305746
Ldh	FBpp0076716
Ldh	FBpp0304375
Ldh	FBpp0304376
Ldh	FBpp0304377
in	FBpp0077841
inaD	FBpp0071820
inaD	FBpp0293662
inv	FBpp0087174
inv	FBpp0087175
inv	FBpp0311724
ix	FBpp0087251
janA	FBpp0084961
janA	FBpp0084962
janA	FBpp0089165
janB	FBpp0084963
Jon44E	FBpp0087783
Jon44E	FBpp0311716
Jra	FBpp0087498
Jra	FBpp0087499
Jra	FBpp0303456
kar	FBpp0082135
kar	FBpp0291719
kay	FBpp0099941
kay	FBpp0084844
kay	FBpp0084846
kay	FBpp0288515
kay	FBpp0308309
kel	FBpp0080595
kel	FBpp0080596
Khc	FBpp0086328
kkv	FBpp0078442
kkv	FBpp0089164
kkv	FBpp0290640
kl-2	FBpp0312333
klar	FBpp0072464
klar	FBpp0110115
klar	FBpp0111719
klar	FBpp0111720
klar	FBpp0305983
klar	FBpp0305984
klar	FBpp0305985
klar	FBpp0310130
klar	FBpp0310131
kn	FBpp0086595
kn	FBpp0111721
kn	FBpp0111722
kn	FBpp0290614
kn	FBpp0302917
kni	FBpp0077941
kni	FBpp0311151
knk	FBpp0081672
knrl	FBpp0077870
knrl	FBpp0312390
kto	FBpp0074653
kto	FBpp0293259
Kr	FBpp0072351
Kr	FBpp0305365
kz	FBpp0070403
kz	FBpp0309621
Mybbp1A	FBpp0070114
egh	FBpp0070423
egh	FBpp0070424
egh	FBpp0309090
l(1)10Bb	FBpp0073316
Ddx56	FBpp0076917
Ddx56	FBpp0310396
Grip91	FBpp0073672
dlg1	FBpp0089349
dlg1	FBpp0089350
dlg1	FBpp0073341
dlg1	FBpp0073342
dlg1	FBpp0073340
dlg1	FBpp0089348
dlg1	FBpp0073339
dlg1	FBpp0089352
dlg1	FBpp0089353
dlg1	FBpp0089351
dlg1	FBpp0111724
dlg1	FBpp0111725
dlg1	FBpp0290503
dlg1	FBpp0290504
dlg1	FBpp0291324
dlg1	FBpp0300431
dlg1	FBpp0300432
dlg1	FBpp0303416
dlg1	FBpp0305459
dlg1	FBpp0305460
dlg1	FBpp0305461
ifc	FBpp0078810
ifc	FBpp0304849
eIF4A	FBpp0078806
eIF4A	FBpp0078807
eIF4A	FBpp0078808
eIF4A	FBpp0078809
eIF4A	FBpp0297911
eIF4A	FBpp0303628
Arpc1	FBpp0080146
Arpc1	FBpp0080147
Sos	FBpp0080118
NimC3	FBpp0288682
Pgant35A	FBpp0080202
CIAPIN1	FBpp0080284
stc	FBpp0080265
stc	FBpp0080266
stc	FBpp0304749
stc	FBpp0304750
wor	FBpp0080299
Mtr4	FBpp0080319
Gli	FBpp0080324
Gli	FBpp0080326
Gli	FBpp0080327
Gli	FBpp0080328
Gli	FBpp0310295
ND-B17	FBpp0080329
ND-B17	FBpp0310296
wek	FBpp0080323
wek	FBpp0303719
Ca-alpha1D	FBpp0304337
Ca-alpha1D	FBpp0304338
Ca-alpha1D	FBpp0304339
Ca-alpha1D	FBpp0304340
Ca-alpha1D	FBpp0304341
Ca-alpha1D	FBpp0428117
Ca-alpha1D	FBpp0428118
Ca-alpha1D	FBpp0428119
Ca-alpha1D	FBpp0428120
Ca-alpha1D	FBpp0428121
Cyp303a1	FBpp0080386
Cyp303a1	FBpp0310367
crp	FBpp0080411
crp	FBpp0310368
mRpL4	FBpp0080401
l(2)37Bb	FBpp0080719
Catsup	FBpp0080687
Lim3	FBpp0080712
Lim3	FBpp0080713
Lim3	FBpp0301566
Lim3	FBpp0301567
Lim3	FBpp0301568
Lim3	FBpp0301569
Lim3	FBpp0302972
Phb1	FBpp0080707
Phb1	FBpp0080708
Phb1	FBpp0312093
CG10561	FBpp0080699
swm	FBpp0080785
swm	FBpp0080786
swm	FBpp0303743
swm	FBpp0303744
AspRS	FBpp0086897
AspRS	FBpp0305104
AspRS	FBpp0308483
l(2)gl	FBpp0077824
l(2)gl	FBpp0077825
l(2)gl	FBpp0077826
l(2)gl	FBpp0077827
l(2)gl	FBpp0077828
l(2)gl	FBpp0077829
l(2)gl	FBpp0297544
l(2)gl	FBpp0297545
l(2)gl	FBpp0297546
l(2)gl	FBpp0297547
l(2)gl	FBpp0303505
CG5504	FBpp0088498
CG5504	FBpp0088955
CG5504	FBpp0088954
CG5504	FBpp0297363
CG5504	FBpp0311249
dre4	FBpp0072744
dre4	FBpp0072743
l(3)73Ah	FBpp0075071
l(3)73Ah	FBpp0298337
Prosbeta6	FBpp0075119
sas	FBpp0081089
sas	FBpp0081090
sas	FBpp0306905
sas	FBpp0306906
l(3)87Df	FBpp0082171
dco	FBpp0085104
dco	FBpp0085105
dco	FBpp0085106
dco	FBpp0306615
dco	FBpp0422974
hyd	FBpp0081568
hyd	FBpp0308671
l(3)mbn	FBpp0076770
l(3)mbn	FBpp0312386
l(3)mbn	FBpp0312387
l(3)mbt	FBpp0084545
sti	FBpp0075702
sti	FBpp0304889
pho	FBpp0088268
pho	FBpp0088269
lab	FBpp0081194
lab	FBpp0300396
lace	FBpp0080297
lace	FBpp0310302
Lam	FBpp0078733
Lam	FBpp0297901
Lam	FBpp0297902
Lam	FBpp0312110
LanA	FBpp0076722
Lcp1	FBpp0087841
Lcp1	FBpp0305735
Lcp2	FBpp0087840
Lcp2	FBpp0305734
Lcp3	FBpp0087822
Lcp3	FBpp0305732
Lcp4	FBpp0087823
